in December I travelled by bus from Nairobi to Arusha
to attend a regional business conference that brought together young
entrepreneurs from across east Africa the journey began before sunrise
and the roads were already busy with Lori's transporting goods
between Kenya and Tanzania although the border crossing took longer
than expected because of increase security checks most passengers remain
patient and continued chatting throughout the delay I spent much
of the trip listening to music replying to messages on
my phone and observing the changing landscape outside the window
as we travelled further South I noticed large farms roadside
markets and groups of cyclists moving between small towns several
passengers discuss the rising cost of fuel and how it
had affected Transport prices in recent Months by the time
we finally arrived in Arusha during the evening the streets
were lively with Traders tourists and people preparing for the
holiday season
